"srd_id","latitude","longitude","elev","Barren.PLAND","Evergreen.Needleleaf.Forests.PLAND","Evergreen.Broadleaf.Forests.PLAND","Deciduous.Needleleaf.Forests.PLAND","Deciduous.Broadleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Evergreen.Deciduous.Forests.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Sparse.Shrublands.PLAND","Urban.PLAND","Forest.Cropland.Mosaics.PLAND","Natural.Herbaceous.Croplands.Mosaics.PLAND","Herbaceous.Croplands.PLAND","Woody.Wetlands.PLAND","Herbaceous.Wetlands.PLAND"
246780,50.551853542592,-112.889223090187,941,0.402183280666475,0,0,0,0,0,0,0,0,95.5759839126688,0.948003447285263,0,0,0,0,0,0,63.228957196208,0,0.632002298190175
246781,50.551853542592,-112.51180121028,880,0.0292226767971946,0,0,0,0,0,0,0,0,99.4739918176505,0.146113383985973,0,0,0,0,0,0,34.2781998831093,0,0.204558737580362
246782,50.551853542592,-112.134379330374,780,0.287273771904625,0,0,0,0,0,0,0,0,95.0876185004309,1.20654984199943,0,0,0,0,0,0,24.0160873312267,0,1.23527721918989
246783,50.551853542592,-111.756957450467,755,0.467562828755114,0,0,0,0,0,0,0,0,97.5160724722385,1.05201636469901,0,0,0,0.526008182349503,0,0,32.729398012858,0,0.905902980713033
246784,50.551853542592,-111.379535570561,761,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,6.60729675380638,0,0
246785,50.551853542592,-111.002113690654,778,0,0,0,0,0,0,0,0,0,99.6493278784336,0.350672121566335,0,0,0,0,0,0,0.642898889538282,0,0
246786,50.551853542592,-110.624691810747,734,0.0584453535943892,0,0,0,0,0,0,0,0,96.697837521917,3.2437171244886,0,0,0,0,0,0,1.28579777907656,0,0
246787,50.551853542592,-110.247269930841,738,0.0292226767971946,0,0,0,0,0,0,0,0,98.0128579777908,1.95791934541204,0,0,0,0,0,0,38.8369374634717,0,0
246788,50.551853542592,-109.869848050934,741,0,0,0,0,0,0,0,0,0,99.7662185856224,0.233781414377557,0,0,0,0,0,0,61.7475160724722,0,0
246789,50.551853542592,-109.492426171028,718,0,0,0,0,0,0,0,0,0,99.9425452456191,0.057454754380925,0,0,0,0,0,0,75.0071818442976,0,0
248271,50.3120471811979,-116.449543729638,2131,15.0118906064209,21.7895362663496,0,0,0,0.0297265160523187,0,23.7217598097503,7.93697978596908,15.2199762187872,13.4661117717004,0,0,0,0,0,0,0,0,0.0297265160523187
248272,50.3120471811979,-116.074028680506,1700,3.89417360285374,31.9857312722949,0,0,0,0.0297265160523187,0,42.3900118906064,5.70749108204518,7.66944114149821,6.42092746730083,0,0,0,0,0,0,0,0,0.44589774078478
248273,50.3120471811979,-115.698513631374,1375,0.526008182349503,37.7849210987726,0,0,0,0,0,44.7983635300994,4.47106954997078,8.1531268264173,4.12039742840444,0,0,0,0.0876680303915839,0,0,0,0,0.526008182349503
248274,50.3120471811979,-115.322998582242,1868,2.58620689655172,32.2829964328181,0,0,0,0.0594530321046373,0,42.9845422116528,4.84542211652794,9.3935790725327,7.84780023781213,0,0,0,0,0,0,0,0,0
248275,50.3120471811979,-114.94748353311,2056,5.93220338983051,24.4009351256575,0,0,0,0,0,28.0245470485096,3.62361192285213,25.6867329047341,12.2443015780245,0,0,0,0,0,0,0,0,0
248276,50.3120471811979,-114.571968483978,1791,0.118906064209275,35.9988109393579,0,0.386444708680143,0.505350772889417,0.44589774078478,0,37.2770511296076,4.72651605231867,16.5576694411415,3.9833531510107,0,0,0,0,0,0,0,0,0.416171224732461
248277,50.3120471811979,-114.196453434847,1360,0,3.18527177089421,0,0.789012273524255,0.526008182349503,0.350672121566335,0,12.010520163647,1.95791934541204,80.8591466978375,0.321449444769141,0,0,0,0,0,0,11.1922852133255,0,0
248278,50.3120471811979,-113.820938385715,1083,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0.118906064209275,0,0,89.3579072532699,0,0
248280,50.3120471811979,-113.069908287451,985,1.21878715814507,0,0,0,0,0,0,0,0,96.9084423305589,1.4268727705113,0,0,0,0.208085612366231,0,0,76.4565992865636,0,0.356718192627824
248282,50.3120471811979,-112.318878189188,785,0.146113383985973,0,0,0,0,0,0,0,0,99.1817650496785,0.175336060783168,0,0,0,0,0,0,61.6306253652834,0,0.204558737580362
248283,50.3120471811979,-111.943363140056,762,0.297265160523187,0,0,0,0,0,0,0,0,98.3353151010702,0.713436385255648,0,0,0,0,0,0,36.2960760998811,0,0.624256837098692
248284,50.3120471811979,-111.567848090924,747,0.438340151957919,0,0,0,0,0,0,0,0,95.6165984804208,0.935125657510228,0,0,0,0,0,0,18.0596142606663,0,0.642898889538282
248285,50.3120471811979,-111.192333041792,747,0,0,0,0,0,0,0,0,0,99.6135552913199,0.386444708680143,0,0,0,0,0,0,0.594530321046373,0,0
